location,most_liked_dish,no_of_restaurants
Banaswadi,Coffee,6
Old Airport Road,Chaat,6
Sarjapur Road,Gatte Ki Subzi,6
Koramangala 1st Block,Peri Peri Chicken,6
Koramangala,Butter Chicken,6
HSR,Nasi Goreng,6
HBR Layout,Meat Pizza,6
Indiranagar,Mutton Boti Kebab,6
MG Road,Mango Mascarpone Gateau,6
BTM,Plain Dosa,6
Jeevan Bhima Nagar,Pancakes,6
Kammanahalli,Chicken Satay,6
Kumaraswamy Layout,Rolls,6
JP Nagar,Fruit Custard,6
JP Nagar,Banana Nutella,6
Jayanagar,Kit Kat Shake,6
Bellandur,Veg Fajitas,6
Frazer Town,Popcorn Chicken,6
Cunningham Road,Chicken Lasagne,6
Brookefield,Fish Finger,6
BTM,Cuban Mojito,6
Banaswadi,Mocha Waffle,6
Malleshwaram,Dimsum Platter,6
Malleshwaram,Vegetable Biryani,6
Jayanagar,Chicken Skewer,6
Sarjapur Road,Manchow Soup,6
Sarjapur Road,Hyderabadi Biryani,6
Ulsoor,Whole Meat Shawarma,6
Whitefield,Moo Burger,6
HSR,Panna Cotta,6
JP Nagar,Rava Idli,6
Seshadripuram,Chaat,6
Bannerghatta Road,Pizza,6
Frazer Town,Brownie Chocolate,6
Brookefield,Caesar Salad,6
HSR,Chicken Lasagne,6
Indiranagar,Caesar Salad,6
Whitefield,Chicken Tikka Biryani,6
BTM,Veg Mushroom,6
Indiranagar,Punjabi Lassi,6
HSR,Chicken Steak,6
Basaveshwara Nagar,Chicken Biryani,6
Banashankari,Rooftop Ambience,6
Bellandur,Samosa Chat,6
Indiranagar,Oreo Ice Cream,6
Cunningham Road,Beef Chilli,6
Brigade Road,Jujeh Kabab,6
Malleshwaram,Macaroon,6
Malleshwaram,Rainbow Pastry,6
MG Road,Chicken Grill,6
Indiranagar,Samosa Bun,6
Indiranagar,Egg Pepper Fry,6
Koramangala 4th Block,Chole,6
HSR,Chicken Steak,6
Jayanagar,Aloo Tikki Burger,6
Sarjapur Road,Chaach,6
Bellandur,Sunday Brunch,6
Lavelle Road,Masala Dosa,6
Whitefield,Paneer Biryani,6
Koramangala 1st Block,Chicken Grill,6
Indiranagar,Chicken Tom Yum Soup,6
Residency Road,Rice Kheer,6
Shivajinagar,Mutton Seekh,6
Brookefield,Corn Paratha,6
Vasanth Nagar,Waffles,6
Indiranagar,Rice Noodles,6
Jeevan Bhima Nagar,Chicken Ceaser Salad,6
Kalyan Nagar,Ramen,6
Malleshwaram,Spring Roll,6
Kaggadasapura,Tandoori Chicken,6
Jayanagar,Chicken Lollipop,6
Bellandur,Egg Wrap,6
Seshadripuram,Chicken Noodle,6
Kammanahalli,Sushi,6
Koramangala 4th Block,Rolls,6
JP Nagar,Chocolate Ball,6
BTM,Cheese Burger,6
Koramangala 5th Block,Spicy Shawarma,6
Whitefield,Margarita,6
Basavanagudi,Benne Dosa,6
Jayanagar,Chai,6
Jayanagar,White Sauce Pasta,6
Church Street,Kothu Paratha,6
Marathahalli,Butter Chicken,6
Electronic City,Gajar Ka Halwa,6
Banaswadi,Aloo Curry,6
Jeevan Bhima Nagar,Broccoli Soup,6
Malleshwaram,Tikki,6
New BEL Road,Waffles,6
HSR,Coconut Soup,6
Indiranagar,Falafel,6
HSR,Chole Bhature,6
Kammanahalli,Popcorn,6
Koramangala 4th Block,Chocolate Milkshake,6
New BEL Road,Murgh Platter,6
Kumaraswamy Layout,Biryani,6
Jayanagar,Momo Platter,6
Jayanagar,Raita,6
Indiranagar,Peri Peri Prawn,6
Koramangala 1st Block,Fattoush Salad,6
Sarjapur Road,Jalebi Rabri,6
Old Airport Road,Paneer Biryani,6
Indiranagar,Mutton Kebab Roll,6
Jeevan Bhima Nagar,Vegetable Biryani,6
Old Airport Road,Pahari Chicken,6
Sankey Road,Sunday Brunch,6
Brigade Road,Sizzler Brownie,6
Jayanagar,Wonton Soup,6
HSR,Sarson Ka Saag,6
Old Airport Road,Fish,6
Indiranagar,Choco Hazelnut,6
Infantry Road,Raan,6
JP Nagar,Gajar Ka Halwa,6
MG Road,Cup Cake,6
Race Course Road,Aloo Palya,6
Jeevan Bhima Nagar,Rolls,6
Jeevan Bhima Nagar,Rasgulla,6
Old Airport Road,Lamb,6
Basavanagudi,Banana Waffles,6
JP Nagar,Malpua,6
Indiranagar,Tempura Prawns,6
Brookefield,Wonton Soup,6
Indiranagar,Kiwi Ice Tea,6
Jayanagar,Hummus Platter,6
MG Road,Dumplings,6
Shivajinagar,Hyderabadi Chicken,6
Koramangala,Burgers,6
Indiranagar,Croissants,6
Old Airport Road,Mutton Chops,6
HBR Layout,Brewed Coffee,6
Whitefield,Andhra Meal,6
Jayanagar,Gelato,6
Brookefield,Puri Sabzi,6
Electronic City,Anjal Masala Fry,6
Kalyan Nagar,Maggi,6
Malleshwaram,Burgers,6
Basavanagudi,Spaghetti,6
Banashankari,Coconut Pudding,6
Koramangala 5th Block,Vada,6
Koramangala,Chilli Chicken,6
HSR,Mutton,6
Rajajinagar,Vada,6
Malleshwaram,Garden Pizza,6
Whitefield,Dumplings,6
Electronic City,Fish,6
Jeevan Bhima Nagar,Wedges,6
Old Airport Road,Masala Chai,6
Banashankari,Panipuri,6
Bannerghatta Road,Lemon Chicken,6
Sarjapur Road,Dahi Vada,6
Indiranagar,Crispy Chilli Corn,6
South Bangalore,Pizza,6
Bellandur,Rabri,6
BTM,Dumplings,6
Old Airport Road,Paneer Tikka,6
Indiranagar,Sarso Da Saag,6
Koramangala 7th Block,Gatte Ki Subzi,6
Jayanagar,Au Gratin,6
Brookefield,Jalebi,6
BTM,Chicken Hotdog,6
Thippasandra,Tea,6
Kalyan Nagar,Fish Curry,6
Bellandur,Outdoor Sitting Arrangement,6
Indiranagar,Egg Curry,6
HSR,Wine,6
Koramangala 5th Block,Chicken Biryani,6
Koramangala 1st Block,Kheer,6
Cunningham Road,Paneer Roll,6
Electronic City,Chole Bhature,6
Jayanagar,Corn Pakoda,6
MG Road,Sangria,6
Old Airport Road,Fried Rice,6
Domlur,Idli,6
Kaggadasapura,Rolls,6
Indiranagar,Nutella Cookie,6
Cunningham Road,Mudpie,6
Whitefield,Crispy Chicken,6
HBR Layout,English Breakfast,6
Church Street,Coconut Mousse,6
Whitefield,Prawn,6
HSR,Ferrero Rocher Ice Cream,6
Vasanth Nagar,Steak,6
Indiranagar,Fattoush,6
Old Airport Road,Cheese Balls,6
Kammanahalli,Paneer Tikka Pizza,6
Jayanagar,Apple Pie,6
Domlur,Pie,6
Residency Road,Chocolate Mousse,6
Brookefield,Mousse,6
BTM,Tom Yum Soup,6
Malleshwaram,Kimchi,6
Basavanagudi,Masala Poori,6
Jayanagar,Lemon Tea,6
Koramangala 5th Block,Lamb Kebab,6
Indiranagar,Clear Chicken Soup,6
Indiranagar,Broccoli Soup,6
Indiranagar,Palak Paneer,6
Koramangala 6th Block,Thick Shakes,6
JP Nagar,Gourmet Pizza,6
Kalyan Nagar,Kimchi,6
BTM,Pulpy Grape Juice,6
Infantry Road,Kulfi,6
Indiranagar,Spicy Fries,6
Rajajinagar,Curd Rice,6
Banashankari,Yakisoba,6
Jayanagar,American Chopsuey,6
Marathahalli,Soya Chaap,6
Church Street,Maggi,6
Commercial Street,Cup Cake,6
Shanti Nagar,Cocktails,6
Marathahalli,Mutton Biryani,6
HSR,Roasted Almonds,6
Old Airport Road,Maggi,6
Banaswadi,Cappuccino,6
Whitefield,Chicken Kebab,6
Jayanagar,Ragi Mudde,6
Sarjapur Road,Paneer Biryani,6
Race Course Road,Masala Dosa,6
Indiranagar,Mutton Soup,6
Kalyan Nagar,Chaai,6
HBR Layout,Mojito,6
Rajajinagar,Dal Makhani,6
Brookefield,Barbeque Chicken Pizza,6
Whitefield,Rice Bowl,6
Whitefield,Sweet Lassi,6
Sankey Road,Beer,6
Jayanagar,Paneer Pakora,6
Whitefield,Spring Roll,6
Kalyan Nagar,Elaichi Tea,6
Kalyan Nagar,Falafel Burger,6
Jayanagar,Garlic Rice,6
JP Nagar,Kadhi,6
Shivajinagar,Butter Chicken,6
Koramangala 7th Block,Hot Chocolate Fudge,6
Indiranagar,Mushroom Pizza,6
Jeevan Bhima Nagar,Coffee,6
JP Nagar,Aam Panna,6
Indiranagar,Lasagne,6
Marathahalli,Tandoori Chicken,6
Marathahalli,Paneer Lababdar,6
HSR,Souvlaki,6
Jeevan Bhima Nagar,Puri Sabzi,6
Infantry Road,Sea Food,6
Indiranagar,Hazelnut Cappuccino,6
Banashankari,Buffalo Wings,6
Basavanagudi,Cheese Cutlet,6
Jayanagar,Draught Beer,6
Banaswadi,Sea Food,6
Kammanahalli,Ricotta Ravioli,6
HBR Layout,Cinnamon Roll,6
Bellandur,Jalebi,6
Bellandur,Pane Pizza,6
Koramangala 5th Block,Falafel,6
Old Airport Road,Filter Coffee,6
BTM,Brownie Sundae,6
Jayanagar,Veg Puff,6
Residency Road,Cheesecake,6
Koramangala 5th Block,Mexican Fries,6
Indiranagar,Cutting Chai,6
JP Nagar,Fish,6
Electronic City,Veg Platter,6
JP Nagar,Pink Lemonade,6
HSR,Dahi Vada,6
Indiranagar,Thai Chicken Salad,6
Indiranagar,Chicken Tikka,6
Indiranagar,Pesto Pasta,6
Kammanahalli,Sausage Roll,6
HSR,Mezze Platter,6
Indiranagar,Chicken Wrap,6
Jayanagar,Mutton Keema Dosa,6
Jayanagar,Bamboo Chicken Biryani,6
Basavanagudi,Burrito Bowl,6
Jayanagar,Breakfast Buffet,6
HSR,Nutella Brownie,6
BTM,Blueberry Cheesecake,6
Commercial Street,Tandoor Chicken Burger,6
Malleshwaram,Millet Pizza,6
Yeshwantpur,Paratha,6
Marathahalli,Tom Yum Soup,6
Banashankari,Stuffed Mushroom,6
Jayanagar,Manchow Soup,6
Jayanagar,Palak Rice,6
Brigade Road,Pesto Pasta,6
BTM,Rice,6
Kammanahalli,Chicken Momo,6
Jeevan Bhima Nagar,Lassi,6
Indiranagar,Chicken Steak,6
Kalyan Nagar,Draught Beer,6
Banashankari,Butter Naan,6
Jayanagar,Hot Wings,6
JP Nagar,Jalapeno Poppers,6
Infantry Road,Masala Prawn,6
HSR,Cottage Cheese Sandwich,6
Koramangala 1st Block,Chicken Wings,6
Koramangala 5th Block,Fried Cheese,6
Koramangala 5th Block,Chocolate Hazelnut,6
Jayanagar,Potato Cheese Ball,6
Jayanagar,Chocolate Sandwich,6
Infantry Road,Gosht Dum Biryani,6
Cunningham Road,Thali,6
Seshadripuram,Strawberry Shake,6
Basavanagudi,White Sauce Pasta,6
Jayanagar,Pineapple Rasam,6
Bannerghatta Road,Prawn Crackers,6
Bellandur,Shotgun Chicken,6
MG Road,Crabmeat Soup,6
Cunningham Road,Mutton Curry,6
Old Airport Road,Ginger Chai,6
BTM,Cheesy Pizza,6
Sarjapur Road,Churma,6
Brigade Road,Mc Spicy Chicken,6
Jayanagar,Tea,6
Sarjapur Road,Chicken Grill,6
HBR Layout,Buffalo Wings,6
Marathahalli,Lava Cake,6
Koramangala 1st Block,Pancakes,6
Koramangala 1st Block,Savoury Crepe,6
Indiranagar,Spaghetti,6
Indiranagar,Bun Maskas,6
Jeevan Bhima Nagar,Tea,6
Kalyan Nagar,Chips,6
Kalyan Nagar,Tandoori Roti,6
Hosur Road,Paratha,6
Bellandur,Red Wine Sangria,6
Whitefield,Momos,6
HBR Layout,Brownie,6
Ulsoor,Maki Roll,6
Church Street,Hakka Noodles,6
Jayanagar,Pili Pili Pizza,6
JP Nagar,Chaap,6
Bellandur,Stuffed Kulcha,6
Commercial Street,Cheesy Chicken Fries,6
Electronic City,Ginger Tea,6
Jayanagar,Tai Pai Chicken,6
Banashankari,Cheesy Garlic Bread,6
Jayanagar,Sweet Potato Fries,6
Jayanagar,Chocolate Shake,6
St. Marks Road,Panner Tikka,6
Frazer Town,Idli,6
Koramangala 5th Block,Malgoum Shawarma,6
Electronic City,Jeera Rice,6
Hosur Road,Liti Chokha,6
Ulsoor,Appam,6
HSR,Chocolate Bomb,6
Koramangala 5th Block,Fattoush,6
HSR,Beef Steak,6
BTM,Arabian Pulpy Grape Juice,6
Rajajinagar,Dahi Vada,6
Basavanagudi,Lime Soda,6
JP Nagar,Bubble Tea,6
Koramangala 1st Block,Sarson Ka Saag,6
HBR Layout,Cappuccino,6
Marathahalli,Garlic Naan,6
Jeevan Bhima Nagar,Kheer,6
Rajajinagar,Vada,6
Jayanagar,Malai Kofta,6
Jayanagar,Juicy Lamb Burger,6
JP Nagar,Nutella Pizza,6
Cunningham Road,Chocolate Cake,6
MG Road,Macaroon,6
Seshadripuram,Clear Soup,6
Kalyan Nagar,Sweet Potato Cake,6
HSR,Mutton Handi,6
Whitefield,Opera Pastry,6
Koramangala 1st Block,Pasta,6
Banashankari,Mozzarella Sticks,6
Church Street,Andhra Chilli Chicken,6
BTM,Nasi Goreng,6
Indiranagar,Kadak Chai,6
Kalyan Nagar,Minestrone Soup,6
Kammanahalli,Basmati Rice,6
Commercial Street,Chocolate Cake,6
Commercial Street,Sandwiches,6
Shanti Nagar,Beer,6
Jeevan Bhima Nagar,Rasmalai,6
HBR Layout,Wings,6
Koramangala 7th Block,Rabri,6
Malleshwaram,Peri Peri Potato Wedge,6
Marathahalli,Mai Thai,6
Sarjapur Road,Chocolate Decadence,6
Indiranagar,Chocolate Hazelnut Shake,6
Marathahalli,Falafel,6
Koramangala 1st Block,Mutton Roganjosh,6
Indiranagar,Makke Ki Roti,6
Kammanahalli,Masala Dosa,6
Domlur,Lunch Buffet,6
Koramangala 5th Block,Oreo Mcflurry,6
Malleshwaram,Lunch Buffet,6
New BEL Road,Chicken Fries,6
Banashankari,Nachos,6
Indiranagar,Spicy Chicken Bangkok Bowl,6
Brookefield,New York Cheesecake,6
Whitefield,Kheer,6
Indiranagar,Chelo Kebab,6
MG Road,Clear Soup,6
Indiranagar,Chura Paratha,6
Old Airport Road,Kesar Chai,6
Nagawara,Panneer Butter Masala,6
Ulsoor,Masoor Dal,6
Basavanagudi,Rooftop Ambience,6
Lavelle Road,Cajun Chicken,6
MG Road,Sea Food,6
Indiranagar,Chocolate Bomb,6
Banashankari,Panneer Butter Masala,6
Marathahalli,Naan,6
Whitefield,Veggie Pizza,6
Cunningham Road,Veggie Roll,6
Indiranagar,Stuffed Mushroom,6
Seshadripuram,Vanilla Ice Cream,6
New BEL Road,Peri Peri Chicken Burger,6
Jayanagar,Lime Soda,6
HSR,Mushroom Soup,6
Kammanahalli,Spaghetti,6
Seshadripuram,Chaat,6
Malleshwaram,Mushroom Pasta,6
Bellandur,New Zealand Lamb Chops,6
Indiranagar,Prawn Biryani,6
MG Road,Noodles,6
HSR,Chicken Nuggets,6
HSR,Prawn Curry,6
Jayanagar,Dal Fry,6
Indiranagar,Fried Rice Chicken,6
Kalyan Nagar,Hunan Chicken,6
JP Nagar,Filter Coffee,6
Jayanagar,New York Cheesecake,6
Bellandur,Donut,6
Shanti Nagar,Mocktails,6
Indiranagar,Chicken Tacos,6
Koramangala 1st Block,Hot Chocolate,6
Indiranagar,Non Veg Thali,6
JP Nagar,Exotic Garlic Bread,6
Malleshwaram,Ghee Rice,6
Jayanagar,Ice Cream Sundae,6
Bannerghatta Road,Tea,6
Indiranagar,Rabri,6
JP Nagar,Kosha Mangsho,6
Jayanagar,Aam Panna,6
Whitefield,Mutton Biryani,6
Malleshwaram,Tawa Pulav,6
New BEL Road,Chicken Grill,6
Basavanagudi,Falafal Sandwich,6
Bannerghatta Road,Chaat,6
HSR,Ferrero Rocher Shake,6
Indiranagar,Choco Chip Shake,6
Cunningham Road,Mutton Fry,6
BTM,Ghee Jalebi,6
Commercial Street,Mutton Whopper,6
Malleshwaram,Chocolate Cake,6
Rajajinagar,Burgers,6
Banashankari,Penne Alfredo,6
JP Nagar,Babycorn Manchurian,6
JP Nagar,Rustica Pizza,6
Whitefield,Pasta Alfredo,6
Seshadripuram,Gelato,6
Sarjapur Road,Sunday Brunches,6
Brigade Road,Peri Peri Chicken Wings,6
MG Road,Vada,6
HSR,Ice Cream Roll,6
HSR,Bamboo Rice,6
Lavelle Road,Butter Masala Dosa,6
Indiranagar,Buffalo Chicken Wings,6
MG Road,Peking Duck,6
HSR,Peri Peri Chicken Roll,6
BTM,Ladoo,6
BTM,Ambur Biryani,6
Whitefield,Rooftop Ambience,6
Indiranagar,Chicken Seekh Roll,6
HSR,Nitrogen Ice Cream,6
Indiranagar,Meat Balls,6
Jayanagar,Paneer Tikka Masala,6
Jayanagar,Corn Balls,6
Sarjapur Road,Pot Biryani,6
HSR,Bamboo Chicken Biryani,6
New BEL Road,Vada Pav,6
Rajajinagar,Masala Papad,6
Cunningham Road,Mushroom Quiche,6
Domlur,Thin Crust Pizza,6
Residency Road,Egg Bhurji,6
Whitefield,Jumbo Prawns,6
Indiranagar,Draught Beer,6
Banashankari,Salads,6
Jayanagar,Almond Soup,6
JP Nagar,Hot Chocolate,6
Frazer Town,Memon Mutton Biryani,6
MG Road,Cheese Croquettes,6
Whitefield,Rice,6
Koramangala 1st Block,Paneer Wrap,6
HSR,Garlic Butter Noodle,6
Hennur,Sandwiches,6
Kalyan Nagar,Sweet Potato Latte,6
Malleshwaram,Lemon Margarita,6
Jayanagar,Sweet Corn Chicken Soup,6
Jayanagar,Fudge Cake,6
Koramangala 1st Block,Paneer Tikka Masala,6
HSR,Donne Biryani,6
Malleshwaram,Fries,6
Basaveshwara Nagar,Tikka,6
Infantry Road,Crab Soup,6
Koramangala 7th Block,Butter Cookies,6
HSR,Dal Tadka,6
Kalyan Nagar,French Onion Soup,6
Malleshwaram,Rainbow Cake,6
Jayanagar,Roast Pork,6
Basavanagudi,Cocktails,6
JP Nagar,Ice Cream Roll,6
Marathahalli,Keema Samosa,6
Indiranagar,Blueberry Cheese Cake,6
Malleshwaram,Manchow Soup,6
Banaswadi,Chicken Fries,6
Basavanagudi,Chilli Idli,6
Infantry Road,Neer Dosa,6
Whitefield,White Sauce Pasta,6
Indiranagar,Chicken Curry,6
Kalyan Nagar,Egg Salad,6
MG Road,Pan Fried Noodles,6
Banaswadi,Waffles,6
Indiranagar,Beef Steak,6
Domlur,Decor,6
Brookefield,Virgin Mojito,6
Vasanth Nagar,Lime Soda,6
Banaswadi,Thin Crust Pizza,6
Kammanahalli,Sandwiches,6
Rajajinagar,Chicken Wings,6
Whitefield,Lamb Burger,6
Commercial Street,Filter Coffee,6
Kalyan Nagar,Peri Peri Fries,6
Hosur Road,Aloo Litti,6
Jayanagar,Potli Biryani,6
MG Road,Crispy Prawns,6
Whitefield,Cheesecake,6
Koramangala 6th Block,Irani Chai,6
BTM,Ginger Tea,6
Bannerghatta Road,Waffles,6
Bellandur,Tandoori Roti,6
Koramangala,Pasta,6
Banaswadi,Naan,6
Jayanagar,Paneer Tikka Pizza,6
Koramangala 1st Block,Popcorn,6
Kammanahalli,Nachos,6
Kalyan Nagar,Masala Pizza,6
Basavanagudi,Butter Naan,6
Bellandur,Halwa,6
Jeevan Bhima Nagar,Ghee Rice,6
MG Road,Thai Salad,6
Basavanagudi,Potato Twister,6
Brigade Road,Veg Lasagna,6
Infantry Road,Crab Masala,6
Brookefield,Veg Thali,6
Whitefield,Peri Peri Chicken,6
Race Course Road,Idli,6
Indiranagar,Butter Naan,6
Indiranagar,Jal-jeera,6
Kalyan Nagar,Veg Burger,6
Malleshwaram,Banana Pudding,6
Banashankari,Wedges,6
Basavanagudi,Chocolate Sandwich,6
Whitefield,Chicken Curry,6
Indiranagar,Virgin Mojito,6
Indiranagar,Wheat Beer,6
Race Course Road,Mocktails,6
New BEL Road,Peri Peri Chicken Steak,6
Koramangala,Pizza,6
Electronic City,Wine,6
Banaswadi,Lime Soda,6
New BEL Road,Cheddar Cheese Balls,6
BTM,Kiwi Mojito,6
Electronic City,Cocktails,6
Indiranagar,Gulkand Chai,6
Indiranagar,Fajitas,6
Banashankari,Dahi Bhalle,6
Indiranagar,Waffles,6
Church Street,Chilli Cheese Fries,6
Whitefield,Cappuccino,6
HSR,Chettinad Pizza,6
Shanti Nagar,Ghee Masala Dosa,6
Brookefield,English Breakfast,6
Whitefield,Steak,6
BTM,Chicken Grill,6
Kammanahalli,Cheesecake,6
JP Nagar,Phirni,6
BTM,Thalassery Biryani,6
BTM,Shawarma Roll,6
Sarjapur Road,Dal Bati,6
Koramangala 7th Block,Watermelon Juice,6
BTM,Egg Biryani,6
Old Airport Road,Ginger Tea,6
Nagawara,Biryani,6
Banaswadi,Manchow Soup,6
Marathahalli,Mutton Kebab,6
Sarjapur Road,Chole Bhature,6
Whitefield,Tai Pai Chicken,6
Frazer Town,Shawarma,6
Bannerghatta Road,Panneer Butter Masala,6
Lavelle Road,Salad,6
Indiranagar,Rice Pudding,6
Indiranagar,Dal Tadka,6
Frazer Town,Mutton Keema,6
Indiranagar,Russian Salad,6
HBR Layout,Beer,6
JP Nagar,Kit Kat Shake,6
Jayanagar,Aloo Tikki,6
Frazer Town,Ice Cream Roll,6
Koramangala 7th Block,Fruit Juices,6
Indiranagar,Veg Salad,6
JP Nagar,Pot Biryani,6
Infantry Road,Mutton Biryani,6
Koramangala 1st Block,Raita,6
Old Airport Road,Vada,6
Koramangala 1st Block,Sarso Da Saag,6
Koramangala 5th Block,Enchiladas,6
Indiranagar,Blueberry Cheesecake,6
Koramangala 4th Block,Chicken Masala,6
JP Nagar,Kesari Bath,6
HSR,Ginger Lime Mojito,6
Domlur,Pepperoni,6
Koramangala 1st Block,Chicken Noodle,6
HSR,Chicken Fries,6
Banashankari,Pepper Pizza,6
JP Nagar,Wood Fire Pizza,6
JP Nagar,Khichda,6
Bellandur,Samosa,6
Koramangala 5th Block,Potato Fries,6
Seshadripuram,Sandwiches,6
Indiranagar,Chocolate Peanut Butter,6
Jayanagar,Ghee Rice,6
Indiranagar,Ice Cream Roll,6
Indiranagar,Chicken Noodle,6
Jeevan Bhima Nagar,Chicken Burger,6
Indiranagar,Beef Salad,6
Nagawara,Burgers,6
Bannerghatta Road,Saffron Rice,6
Lavelle Road,Chole,6
Church Street,Fried Cheese,6
Brigade Road,Barbecue Wings,6
Marathahalli,Gol Gappe,6
BTM,Soya Chaap,6
Koramangala 5th Block,Mcspicy Chicken Burger,6
Whitefield,Chocolate Sundae,6
Sarjapur Road,French Fries,6
Indiranagar,Chicken Kalimirch,6
BTM,Veg Dum Biryani,6
Koramangala 1st Block,Falafel Wrap,6
Electronic City,Kulcha,6
Kammanahalli,Potato Wedges,6
New BEL Road,Beda Roti,6
Koramangala 5th Block,Shawarma,6
Jeevan Bhima Nagar,Chicken Kebab,6
Bellandur,Chicken Lollipop,6
Sarjapur Road,Kadhai Paneer,6
MG Road,Sesame Chicken,6
Koramangala 1st Block,Chole,6
Marathahalli,Chocolate Fantasy,6
Koramangala,Halwa,6
Indiranagar,Chicken Shawarama,6
Electronic City,Masala Dosa,6
Hennur,Burgers,6
Indiranagar,Strawberry Mojito,6
JP Nagar,Dal Bati Churma,6
Koramangala 5th Block,Cheese Paratha,6
Commercial Street,Chicken Tandoori Grill Burger,6
Electronic City,Cheese Balls,6
New BEL Road,Tacos,6
Bellandur,Waffles,6
Koramangala 7th Block,Cheese Sandwich,6
HSR,Salted Caramel,6
Koramangala 5th Block,Burrito Bowl,6
Old Airport Road,Lassi,6
Malleshwaram,Mutton Biryani,6
JP Nagar,Mexican Rice,6
BTM,Paneer Punjabi,6
JP Nagar,Dahi Vada,6
Sarjapur Road,Salads,6
Domlur,Rooftop Ambience,6
Basavanagudi,Mirchi Bajji,6
Jayanagar,Butter Naan,6
Indiranagar,Dark Chocolate Shake,6
Kalyan Nagar,Apple Crumble,6
HBR Layout,Cocktails,6
Jayanagar,Salmon Steak,6
MG Road,Rava Dosa,6
Vasanth Nagar,Bacon Burger,6
Vasanth Nagar,Chicken Burger,6
Indiranagar,Baklava,6
New BEL Road,Drunken Chicken,6
Banashankari,Chicken Roll,6
Banashankari,Khau Suey,6
Basavanagudi,Tikki Chaat,6
HSR,Stuffed Mushroom,6
Kalyan Nagar,Waffles,6
Kammanahalli,Rasmalai,6
JP Nagar,Russian Cutlet,6
JP Nagar,Paneer Lollipop,6
Brookefield,Healthy Breakfast,6
HSR,Tom Yum Soup,6
Rajajinagar,Aloo Gobhi,6
Commercial Street,Panneer Butter Masala,6
Seshadripuram,Brownie,6
New BEL Road,Raj Kachori,6
Whitefield,Ghee Rice,6
Indiranagar,Carbonara,6
Seshadripuram,Fries,6
JP Nagar,Nolen Gurer Ice Cream,6
Infantry Road,Wine,6
Brookefield,Chicken Dosa,6
Frazer Town,Coffee,6
Kalyan Nagar,Ginger Pork,6
New BEL Road,Salad,6
Basavanagudi,Butter Dosa,6
Vasanth Nagar,Pizza,6
Frazer Town,Mutton Kebab,6
Indiranagar,Chicken Kheema Dosa,6
Shivajinagar,Coffee,6
HSR,Fruit Ice Cream,6
Kalyan Nagar,Pork Ribs,6
Rajajinagar,Cocktails,6
Sarjapur Road,Rabri,6
Frazer Town,Naan,6
Kalyan Nagar,Beer,6
Kalyan Nagar,Pork Chilli,6
HBR Layout,Burgers,6
Malleshwaram,Pesto Pasta,6
Indiranagar,Aloo Jeera,6
MG Road,Masala Dosa,6
Marathahalli,Ginger Tea,6
Indiranagar,Kulcha,6
HSR,Breakfast Buffet,6
BTM,Oreo Cheesecake,6
Indiranagar,Orange Mojito,6
Old Airport Road,Masala Dosa,6
Indiranagar,Bibimbap,6
Kalyan Nagar,Orange Mojito,6
Koramangala 4th Block,Chicken Boneless Biryani,6
Malleshwaram,Pink Lemonade,6
JP Nagar,Kung Pao Chicken,6
Bellandur,Chole Bhature,6
Indiranagar,Kathi Roll,6
Residency Road,Kulfi Faluda,6
Brookefield,Enchiladas,6
Koramangala 1st Block,Ambur Biryani,6
Banaswadi,Chicken Burger,6
Nagawara,Roti,6
Malleshwaram,Pav Bhaji,6
Shanti Nagar,Idli,6
Infantry Road,Hyderabadi Biryani,6
Whitefield,Chicken Tenders,6
Whitefield,Panneer Butter Masala,6
JP Nagar,Pakoda,6
BTM,Onion Kachori,6
Cunningham Road,Rolls,6
Kalyan Nagar,Ginger Chai,6
Malleshwaram,Chocolate Sundae,6
Malleshwaram,Mudpie,6
Jayanagar,Chilli Paneer,6
Bellandur,Pork Ribs,6
Marathahalli,Pizza,6
Koramangala 5th Block,Hot Coffee,6
Indiranagar,Basil Chicken,6
Indiranagar,Tomato Soup,6
Basavanagudi,Jalapeno Poppers,6
Koramangala 5th Block,Chicken Fries,6
Brigade Road,Potato Mash,6
Malleshwaram,Chicken Steak,6
Koramangala,Chicken Biryani,6
Bellandur,Chicken Soup,6
Whitefield,Murgh Lababdar,6
Whitefield,Plain Dosa,6
HSR,Onion Rava Masala Dosa,6
Frazer Town,Honey Chilli Potatoes,6
Jayanagar,Lasagne,6
Basavanagudi,Jowar Roti,6
Sarjapur Road,Dahi Kebab,6
Residency Road,Lemon Tarts,6
Koramangala 1st Block,Butter Naan,6
Indiranagar,Double Choco Mocha,6
Indiranagar,Lime Soda,6
Malleshwaram,Puri Saagu,6
Infantry Road,Lassi,6
Koramangala,Raita,6
Indiranagar,Crab Sushi,6
MG Road,Filter Coffee,6
Indiranagar,Pita Bread,6
Indiranagar,Iced Peach Tea,6
Jeevan Bhima Nagar,Samosa Chaat,6
Banashankari,Fish Curry,6
Lavelle Road,Salad,6
HSR,Rice Bowl,6
Kammanahalli,Steak,6
Malleshwaram,Chicken Dumplings,6
Koramangala 5th Block,French Fries,6
Indiranagar,Poha,6
Kammanahalli,Andhra Meal,6
Malleshwaram,Rava Idli,6
New BEL Road,Filter Coffee,6
Basavanagudi,Maddur Vada,6
Sarjapur Road,White Sauce Pasta,6
Seshadripuram,Chinese Bhel,6
Hosur Road,Raita,6
Malleshwaram,Custard,6
