location,most_liked_dish,no_of_restaurants
Jayanagar,Sea Food,34
Jayanagar,Sandwiches,34
Koramangala 6th Block,Raita,34
HSR,Samosa,34
Cunningham Road,Chicken Satay,34
Indiranagar,Sangria,34
Whitefield,Beer,34
Cunningham Road,Masala Fries,34
Lavelle Road,Cheesecake,34
Kalyan Nagar,Burgers,34
Ulsoor,Fries,34
Cunningham Road,Wood Fire Pizza,34
HSR,Naan,34
Koramangala 6th Block,Dal Makhani,34
Kalyan Nagar,Burgers,34
Koramangala 5th Block,Pasta,34
Indiranagar,Biryani,34
Koramangala 5th Block,Momos,34
Koramangala 6th Block,Tandoori Chicken,34
Koramangala 4th Block,French Fries,34
Indiranagar,Lunch Buffet,34
Sarjapur Road,Noodles,34
Koramangala 7th Block,Rolls,34
Bannerghatta Road,Chicken Biryani,34
Whitefield,Burgers,33
HSR,Cocktails,33
Jayanagar,Brownie,33
BTM,Thick Shakes,33
Whitefield,Chicken Biryani,33
Koramangala 6th Block,Garlic Bread,33
Jayanagar,Paratha,33
MG Road,Salads,33
Frazer Town,Pasta,33
Indiranagar,Ginger Tea,33
JP Nagar,Mojito,33
Koramangala 5th Block,Vegetable Biryani,33
Domlur,Mocktails,33
JP Nagar,Dal Makhani,33
Koramangala 6th Block,Mojito,33
Bellandur,Lassi,33
JP Nagar,Pasta,33
Residency Road,Chicken Lollipop,33
Indiranagar,Raita,33
Indiranagar,Fries,33
Bellandur,Sandwiches,33
Jayanagar,French Fries,33
BTM,Tomato Soup,33
Ulsoor,Prawn Curry,33
Bannerghatta Road,Tandoori Chicken,33
BTM,Panneer Butter Masala,33
Indiranagar,Chicken Wings,33
HSR,Tandoori Chicken,33
Koramangala 8th Block,Pizza,33
Whitefield,Thali,33
Marathahalli,Butter Naan,33
Indiranagar,Kheer,33
Koramangala 5th Block,Long Island Iced Tea,33
MG Road,Draught Beer,32
Bellandur,Paratha,32
Koramangala 5th Block,Onion Rings,32
Koramangala 5th Block,Mutton Chops,32
Koramangala 3rd Block,Coffee,32
BTM,Tandoori Chicken,32
JP Nagar,Beer,32
Shanti Nagar,Biryani,32
Bannerghatta Road,Butter Chicken,32
JP Nagar,Buttermilk,32
Koramangala 7th Block,Chicken Tikka,32
Jayanagar,Vegetable Biryani,32
Residency Road,Momos,32
Kalyan Nagar,Cocktails,32
JP Nagar,Sandwich,32
BTM,Kachori,32
HSR,Idli,32
BTM,Noodles,32
Koramangala 6th Block,Chocolate Icecreams,32
Jayanagar,Burgers,32
Koramangala 7th Block,Waffles,32
Basavanagudi,Filter Coffee,32
Koramangala 7th Block,Noodles,32
New BEL Road,Burgers,32
Koramangala 1st Block,Chicken Biryani,32
Jayanagar,Gulab Jamun,32
JP Nagar,Panipuri,32
JP Nagar,Mutton Biryani,32
Koramangala 5th Block,Beef Steak,32
BTM,Rasmalai,32
JP Nagar,Neer Dosa,32
Brigade Road,Salad,32
Koramangala 6th Block,Pav Bhaji,32
Brigade Road,Sandwich,32
Koramangala 6th Block,Jalebi,32
Richmond Road,Chicken Biryani,31
Sarjapur Road,Pasta,31
Brigade Road,Long Island Iced Tea,31
BTM,Ghee Rice,31
Koramangala 5th Block,Chaat,31
Indiranagar,Peri Peri Fries,31
Church Street,Sea Food,31
Koramangala 5th Block,Clear Soup,31
Bannerghatta Road,Fries,31
MG Road,Mutton Biryani,31
Brigade Road,Veg Platter,31
Whitefield,Tandoori Chicken,31
Koramangala 4th Block,Beer,31
Koramangala 3rd Block,Pizza,31
Electronic City,Biryani,31
Sarjapur Road,Craft Beer,31
Koramangala 5th Block,Chicken Curry,31
Koramangala 4th Block,Momos,31
St. Marks Road,Noodles,31
Brookefield,Paratha,31
Indiranagar,Maggi,31
Whitefield,Salads,31
